id,ratingCategory
3461,1
2604,1
3341,1
3764,1
2306,1
1438,1
2571,0
4148,1
4452,2
354,1
1709,1
3738,1
1791,2
2173,1
409,1
1258,1
4601,1
2093,1
3030,2
3496,1
120,1
708,1
4210,0
2566,1
3309,0
1855,1
2746,1
2126,1
2199,1
4631,2
4496,1
4441,0
4584,0
1203,1
1267,1
4181,1
3560,2
4929,2
2486,1
1695,1
2084,1
887,1
1336,0
4309,1
2387,1
5033,0
2903,1
4867,0
455,1
3365,1
3255,0
1014,0
4808,1
307,0
2374,1
4229,2
1505,1
2848,1
1431,0
484,1
602,2
4151,0
4918,0
4991,0
1425,1
2343,1
2916,1
2762,1
3245,1
1944,1
317,1
4493,0
4436,0
3886,0
3146,0
3729,0
4315,0
4014,1
1640,1
3856,1
4431,1
988,1
719,1
2844,1
1295,1
1405,1
3022,0
2878,0
1325,1
3971,1
4017,1
1244,0
3507,0
1829,1
164,1
4258,0
1186,1
2024,1
1530,1
2314,0
1416,1
2688,1
4740,0
1133,1
5075,0
4921,1
792,1
2615,1
2428,0
1396,1
847,1
940,1
1692,1
3007,0
4036,0
3579,1
3519,1
4770,0
4313,0
1198,0
1399,1
2021,1
1875,1
1165,1
5077,0
103,1
4291,1
4325,1
4312,0
3186,1
4931,0
3310,1
952,1
3761,1
3852,1
4542,1
3003,1
3520,0
285,1
4320,0
4940,0
895,1
3947,0
2527,1
2754,1
1652,1
2213,1
1683,0
486,1
1685,1
2453,1
2573,0
2677,1
2281,1
2348,1
3908,2
3582,1
4654,1
672,1
2875,1
3031,1
4112,2
1783,0
3377,1
3116,1
3052,1
4040,1
2737,1
3493,1
2073,0
4286,1
67,1
4553,0
542,2
1838,1
2186,1
2448,1
2752,1
1403,1
835,1
1144,1
848,1
2056,1
4116,1
4287,0
3530,1
4414,0
1656,1
3965,0
2106,1
4687,1
4897,2
2825,1
4703,0
3002,1
4422,2
2120,1
1112,1
2336,2
4819,1
1120,1
1073,1
4881,0
4668,1
4944,2
3791,1
4305,1
217,1
4003,1
1781,0
2047,1
3127,1
4671,1
2323,1
249,1
971,1
4333,0
2592,1
3151,1
3232,1
482,1
1058,1
1426,1
2884,1
1174,1
2845,0
2761,2
2300,1
3531,0
14,1
3772,0
1480,1
2212,1
4432,1
1082,1
290,1
2666,1
4093,1
2164,1
3423,1
3527,0
215,1
4576,0
1952,1
1988,1
1373,1
3414,1
2251,0
1243,1
4539,1
3690,1
266,1
3106,1
3465,1
5073,0
4915,1
6,2
4550,1
3614,0
2808,1
139,1
4155,1
1808,1
1673,1
4454,0
4413,2
214,2
3393,1
2919,1
359,1
3933,1
3562,1
982,1
3899,0
2656,0
27,1
2372,1
1355,1
1240,1
3256,0
41,2
2541,1
574,1
917,1
3376,1
268,2
3898,2
100,0
2841,1
2956,1
3594,0
3622,0
1202,1
1078,1
781,2
4066,0
2351,1
1647,1
4942,1
471,1
1993,1
3005,1
2690,1
459,1
2846,0
1137,1
4098,0
3887,1
4924,0
4653,2
2664,1
1364,1
4269,0
232,1
1445,1
1179,1
37,1
1115,1
1350,2
3590,0
977,2
1348,0
447,2
4857,0
1793,1
1255,1
239,1
4624,0
2995,0
2958,1
740,1
4317,0
3775,1
3042,1
4067,2
1787,1
2776,1
2922,2
3170,1
2532,1
421,1
3999,0
4791,1
1513,1
1696,1
1745,1
1763,1
284,1
1398,1
490,1
402,2
2469,1
2645,1
2476,1
4318,0
1789,1
812,1
4544,0
4789,0
4518,1
3122,1
3920,0
2717,0
1234,1
510,1
2525,1
3054,1
2225,1
2196,0
3072,1
4068,1
3544,0
4868,2
4087,0
2589,1
4830,0
1225,1
454,1
2370,1
894,1
4727,1
3691,1
4580,0
253,1
717,1
2354,1
3105,1
3997,1
4777,0
919,1
1316,1
3821,0
3929,1
2504,1
2827,1
1205,1
2122,1
2625,1
2437,1
3303,1
4467,0
4586,1
4146,0
4001,1
4091,0
4410,2
3104,1
3294,1
176,1
1887,1
963,1
2655,1
4239,1
3569,1
2691,1
3171,1
4893,0
3293,1
377,1
823,1
2142,1
2930,1
2017,1
2019,1
898,1
1982,1
431,1
4646,1
2151,0
761,2
4750,0
328,1
4174,0
1790,1
1624,1
1784,1
4195,0
3831,1
1639,0
3743,1
5052,2
5006,2
771,1
4898,0
3389,1
1750,0
1730,1
3258,0
1722,1
2395,2
1562,1
5041,0
1642,1
4713,2
757,1
3431,1
4346,0
775,1
3752,1
4715,2
2928,1
209,1
4732,0
1269,1
725,1
3993,0
710,1
2802,0
604,1
1735,2
1238,1
3940,2
2246,1
2488,2
3917,2
1930,1
3925,0
1266,1
1023,1
3379,1
4677,1
3655,1
4737,2
3366,1
225,1
4353,0
1633,1
3223,1
4908,2
1039,1
159,1
3207,0
4225,0
1515,1
4173,0
3412,1
3944,1
1194,1
1662,1
4073,1
3056,1
1379,1
2963,1
2915,1
3849,0
3217,1
254,1
1600,1
1349,0
4139,0
3734,1
3329,0
4062,0
3069,1
3786,0
2683,1
2537,1
1707,1
4900,0
3416,0
2783,1
2377,0
601,1
4956,1
4848,0
2181,0
180,1
2766,1
1417,1
1626,0
2299,1
3110,1
1248,1
1535,1
2217,0
1161,1
764,1
4861,1
4670,1
4701,0
3816,1
4398,2
5066,0
1555,1
3511,1
4833,0
1512,1
508,1
69,1
4829,0
86,1
4322,1
1954,1
3013,1
897,1
2696,0
2412,1
3515,0
1156,1
2710,1
5061,1
886,1
2679,1
758,1
3112,1
2382,0
325,1
1548,1
4063,1
1093,1
2723,0
4813,1
1322,1
4633,0
2247,1
2308,1
3567,1
5026,1
901,1
2680,1
2584,0
4990,0
2159,1
352,1
4340,1
3634,0
68,1
2031,1
3702,1
3679,0
3547,0
536,1
4499,1
2239,1
4855,0
3533,1
4440,0
629,1
2398,1
4338,1
4097,0
1116,1
3344,1
4522,0
1850,1
2111,0
2611,1
2581,1
394,1
2874,1
2392,1
4147,0
77,1
1047,1
4649,0
2107,1
3140,1
2908,1
1980,1
1509,1
1077,1
3176,1
3149,0
2216,1
2183,1
3765,1
4371,2
119,1
3598,0
570,0
4130,0
634,1
699,1
1181,1
1268,1
147,1
3455,1
31,1
1872,1
1289,1
247,1
4842,0
3866,0
4771,2
4124,1
21,1
724,1
1575,1
291,1
3334,1
1690,1
3757,1
1129,1
1123,1
122,1
1571,0
3390,0
4224,0
2614,1
1212,1
2600,1
1050,1
3181,1
5069,2
1755,1
3121,1
2296,1
5029,1
1220,0
902,1
1311,2
2158,1
4183,0
1708,1
4342,0
464,1
3008,1
1324,1
1583,1
925,1
4311,2
3742,0
4562,0
1245,1
1343,1
4717,0
620,1
613,1
1779,1
874,1
2893,1
3457,1
2575,1
1302,1
785,1
4847,0
4664,2
1523,1
1105,1
2550,1
2215,0
3283,1
4084,0
2938,1
1581,1
1785,1
3504,1
319,1
3661,0
420,1
32,1
2997,1
480,1
3860,2
3345,1
3790,1
3079,0
2071,1
390,1
5060,2
4401,2
4078,1
1260,1
1572,0
4092,1
1273,0
682,1
5106,2
2279,0
3134,0
1879,1
760,1
1304,1
4319,2
2049,1
1381,1
369,1
2490,0
2055,1
378,1
2881,1
1452,1
2582,0
3716,2
4190,0
888,1
2837,1
4526,0
2258,1
3782,2
3286,1
3731,2
2562,0
4625,0
2489,1
668,1
4141,0
2829,2
436,1
4862,0
4845,0
2008,1
2851,1
1411,0
4827,1
4242,1
3182,1
1698,0
4581,2
1440,1
589,1
753,1
3640,1
798,1
3290,0
1428,0
1337,1
1459,1
4613,0
4823,2
2657,1
3748,0
953,1
3312,1
3338,1
1394,0
2079,1
2872,1
2549,1
2998,1
416,1
4133,1
1557,1
1231,1
1228,1
2852,1
4869,2
3588,0
145,1
2860,1
479,1
3812,0
4960,1
850,1
3949,0
1494,1
4296,0
127,1
1151,1
1588,1
3035,1
2004,1
4362,1
2758,1
2624,0
4958,0
1463,1
3021,0
4792,2
2850,0
2161,1
3048,1
2648,1
923,1
4607,1
1621,1
4803,0
860,1
4904,2
4541,0
311,1
3403,1
2693,1
17,1
2132,1
2682,2
1942,1
4774,2
2769,1
3398,1
3132,1
4988,1
4483,2
3350,0
4235,1
4837,0
2555,1
1278,0
4341,1
4243,1
1592,1
4339,0
4316,0
2014,0
1648,1
1940,1
2309,1
2248,1
4119,1
3158,1
1069,1
1062,1
4863,1
2066,0
2554,1
558,1
71,1
2494,0
2271,1
4002,0
3705,1
2301,1
4933,1
1358,1
4079,1
4336,1
1256,1
99,1
2242,1
2467,1
3388,1
4277,1
192,2
1257,0
1241,2
1827,1
2078,1
4383,0
1670,0
3301,1
4206,0
1113,1
1756,2
3868,1
4946,0
4035,1
4735,0
183,1
1086,1
4373,2
3375,0
4197,0
4076,1
851,1
2035,1
2651,1
2991,1
2087,1
2519,1
562,1
88,0
576,1
3639,1
3474,1
3436,1
880,1
5101,2
4969,1
1617,1
376,1
1754,1
2320,0
3601,0
1778,1
3571,0
1900,1
2417,1
3878,0
1235,1
3895,0
456,1
4096,1
5042,0
2564,0
4525,0
3510,2
2813,1
1272,1
3193,1
2224,0
3386,0
571,1
4974,2
1978,1
2888,1
1011,1
1981,1
806,1
3500,1
2009,1
3499,1
4163,1
4730,0
2150,0
1949,1
4739,2
2960,1
2987,0
4540,0
1762,1
3924,0
496,1
4807,0
1481,1
544,1
3658,1
2487,1
2588,1
39,1
2712,1
1404,2
4115,1
3466,1
3513,1
2950,1
2263,1
1780,1
5056,2
1270,1
4951,2
2233,1
4433,2
3238,1
411,1
1207,1
4064,2
2854,1
3370,1
364,1
1057,1
1496,1
2434,1
3288,0
773,1
3383,1
4222,1
1441,1
1085,1
3964,1
4913,2
1725,0
3178,1
4561,2
1681,1
706,1
1646,1
4657,1
4702,1
3439,1
4462,0
3093,1
2873,1
4729,0
4973,0
1983,1
2028,1
48,1
2853,1
219,2
1286,0
2201,1
4019,0
